iteration,seconds,mse,rmse,mae,wmape,smape
1,0,74.14245983642637,8.610601595499954,7.141927268289868,35.04345868354831,46.88116679336241
2,1,74.14245983642637,8.610601595499954,7.141927268289868,35.04345868354831,46.88116679336241
3,2,73.95183389669859,8.599525213446297,7.136731463504914,35.01796430878511,46.86843552896615
4,3,73.95183389669859,8.599525213446297,7.136731463504914,35.01796430878511,46.86843552896615
5,4,73.95183389669859,8.599525213446297,7.136731463504914,35.01796430878511,46.86843552896615
6,5,73.95183389669859,8.599525213446297,7.136731463504914,35.01796430878511,46.86843552896615
7,5,73.95183389669859,8.599525213446297,7.136731463504914,35.01796430878511,46.86843552896615
8,6,73.95183389669859,8.599525213446297,7.136731463504914,35.01796430878511,46.86843552896615
9,7,73.98852142313986,8.601658062440046,7.133620379066457,35.00269907926308,46.84342260761772
10,8,73.98852142313986,8.601658062440046,7.133620379066457,35.00269907926308,46.84342260761772
11,9,73.98852142313986,8.601658062440046,7.133620379066457,35.00269907926308,46.84342260761772
12,9,73.98852142313986,8.601658062440046,7.133620379066457,35.00269907926308,46.84342260761772
13,10,73.98852142313986,8.601658062440046,7.133620379066457,35.00269907926308,46.84342260761772
14,11,73.98852142313986,8.601658062440046,7.133620379066457,35.00269907926308,46.84342260761772
15,12,73.98852142313986,8.601658062440046,7.133620379066457,35.00269907926308,46.84342260761772
16,13,73.98852142313986,8.601658062440046,7.133620379066457,35.00269907926308,46.84342260761772
17,13,55.12646394857337,7.424719789229313,5.882774295127454,28.86514384867185,41.09852361058709
18,14,55.12646394857337,7.424719789229313,5.882774295127454,28.86514384867185,41.09852361058709
19,15,55.12646394857337,7.424719789229313,5.882774295127454,28.86514384867185,41.09852361058709
20,16,55.12646394857337,7.424719789229313,5.882774295127454,28.86514384867185,41.09852361058709
21,17,55.12646394857337,7.424719789229313,5.882774295127454,28.86514384867185,41.09852361058709
22,18,55.12646394857337,7.424719789229313,5.882774295127454,28.86514384867185,41.09852361058709
23,18,54.80068499453297,7.4027484757036675,5.867231107742188,28.788877733870503,41.05882523502585
24,19,54.80068499453297,7.4027484757036675,5.867231107742188,28.788877733870503,41.05882523502585
25,20,54.80068499453297,7.4027484757036675,5.867231107742188,28.788877733870503,41.05882523502585
26,21,54.80068499453297,7.4027484757036675,5.867231107742188,28.788877733870503,41.05882523502585
27,22,54.80068499453297,7.4027484757036675,5.867231107742188,28.788877733870503,41.05882523502585
28,22,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
29,23,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
30,24,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
31,25,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
32,26,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
33,26,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
34,27,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
35,28,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
36,29,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
37,30,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
38,30,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
39,31,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
40,32,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
41,33,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
42,34,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
43,34,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
44,35,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
45,36,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
46,37,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
47,38,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
48,38,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
49,39,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
50,40,54.7792220726137,7.401298674733624,5.865918686942086,28.782438048564828,41.05183700237998
