daily_active_minutes_instagram,likes_given_per_day,stories_viewed_per_day,perceived_stress_score
a little,a little,a little,low stress
a little,a little,a lot,low stress
a little,a little,too much,moderate stress
a little,a lot,a little,low stress
a little,a lot,a lot,low stress
a little,a lot,too much,low stress
a little,too much,a little,high stress
a little,too much,a lot,high stress
a little,too much,too much,moderate stress
a lot,a little,a little,moderate stress
a lot,a little,a lot,moderate stress
a lot,a little,too much,high stress
a lot,a lot,a little,moderate stress
a lot,a lot,a lot,low stress
a lot,a lot,too much,low stress
a lot,too much,a little,low stress
a lot,too much,a lot,moderate stress
a lot,too much,too much,moderate stress
very much,a little,a little,high stress
very much,a little,a lot,low stress
very much,a little,too much,moderate stress
very much,a lot,a little,high stress
very much,a lot,a lot,high stress
very much,a lot,too much,high stress
very much,too much,a little,low stress
very much,too much,a lot,low stress
very much,too much,too much,high stress
too much,a little,a little,low stress
too much,a little,a lot,high stress
too much,a little,too much,low stress
too much,a lot,a little,high stress
too much,a lot,a lot,moderate stress
too much,a lot,too much,moderate stress
too much,too much,a little,low stress
too much,too much,a lot,moderate stress
too much,too much,too much,high stress
