daily_active_minutes_instagram,likes_given_per_day,stories_viewed_per_day,perceived_stress_score
немного,немного,немного,низкий стресс
немного,немного,много,низкий стресс
немного,немного,очень много,высокий стресс
немного,много,немного,низкий стресс
немного,много,много,низкий стресс
немного,много,очень много,умеренный стресс
немного,очень много,немного,умеренный стресс
немного,очень много,много,умеренный стресс
немного,очень много,очень много,умеренный стресс
много,немного,немного,умеренный стресс
много,немного,много,умеренный стресс
много,немного,очень много,умеренный стресс
много,много,немного,высокий стресс
много,много,много,низкий стресс
много,много,очень много,низкий стресс
много,очень много,немного,умеренный стресс
много,очень много,много,умеренный стресс
много,очень много,очень много,высокий стресс
очень много,немного,немного,умеренный стресс
очень много,немного,много,умеренный стресс
очень много,немного,очень много,низкий стресс
очень много,много,немного,умеренный стресс
очень много,много,много,умеренный стресс
очень много,много,очень много,высокий стресс
очень много,очень много,немного,умеренный стресс
очень много,очень много,много,умеренный стресс
очень много,очень много,очень много,высокий стресс
вообще не расстаётся с телефоном,немного,немного,низкий стресс
вообще не расстаётся с телефоном,немного,много,умеренный стресс
вообще не расстаётся с телефоном,немного,очень много,умеренный стресс
вообще не расстаётся с телефоном,много,немного,умеренный стресс
вообще не расстаётся с телефоном,много,много,высокий стресс
вообще не расстаётся с телефоном,много,очень много,умеренный стресс
вообще не расстаётся с телефоном,очень много,немного,низкий стресс
вообще не расстаётся с телефоном,очень много,много,умеренный стресс
вообще не расстаётся с телефоном,очень много,очень много,высокий стресс
